nameseq,A_LncRNA,C_LncRNA,G_LncRNA,T_LncRNA,AA_LncRNA,AC_LncRNA,AG_LncRNA,AT_LncRNA,CA_LncRNA,CC_LncRNA,CG_LncRNA,CT_LncRNA,GA_LncRNA,GC_LncRNA,GG_LncRNA,GT_LncRNA,TA_LncRNA,TC_LncRNA,TG_LncRNA,TT_LncRNA
NONHSAT122124,0.2927927927927928,0.1917352134743439,0.2093615354484919,0.3061104582843713,0.092458374142997,0.0456415279138099,0.0748285994123408,0.0799216454456415,0.0607247796278158,0.0444662095984329,0.0048971596474045,0.0816846229187071,0.0667972575905974,0.0395690499510284,0.056611165523996,0.0464250734573947,0.072869735553379,0.0620959843290891,0.0730656219392752,0.0979431929480901
NONHSAT036719,0.1860465116279069,0.2823920265780731,0.3488372093023256,0.1827242524916943,0.0366666666666666,0.04,0.0766666666666666,0.0333333333333333,0.0533333333333333,0.0866666666666666,0.0766666666666666,0.0666666666666666,0.0633333333333333,0.0933333333333333,0.1233333333333333,0.07,0.0333333333333333,0.06,0.0733333333333333,0.0133333333333333
NONHSAT000091,0.2767689417658109,0.2974326862867877,0.1615529117094552,0.2642454602379461,0.0676691729323308,0.0770676691729323,0.0507518796992481,0.081453634085213,0.0802005012531328,0.0964912280701754,0.0350877192982456,0.0858395989974937,0.0457393483709273,0.0457393483709273,0.0382205513784461,0.0319548872180451,0.0827067669172932,0.0783208020050125,0.037593984962406,0.0651629072681704
NONHSAT000204,0.2063492063492063,0.2952380952380952,0.3063492063492063,0.192063492063492,0.0349761526232114,0.0588235294117647,0.0890302066772655,0.0238473767885532,0.0969793322734499,0.1033386327503974,0.0349761526232114,0.0604133545310015,0.0524642289348171,0.081081081081081,0.1017488076311605,0.0699523052464228,0.0222575516693163,0.0524642289348171,0.0794912559618442,0.0381558028616852
NONHSAT001062,0.2514970059880239,0.2664670658682634,0.278443113772455,0.2035928143712574,0.1201201201201201,0.027027027027027,0.084084084084084,0.021021021021021,0.054054054054054,0.087087087087087,0.042042042042042,0.084084084084084,0.057057057057057,0.0960960960960961,0.072072072072072,0.054054054054054,0.021021021021021,0.057057057057057,0.078078078078078,0.045045045045045
NONHSAT001159,0.2084690553745928,0.2848353239232718,0.2975027144408252,0.2091929062613101,0.0387400434467777,0.0369297610427226,0.0941346850108617,0.0383779869659666,0.0753077480086893,0.0868935553946415,0.0372918175235336,0.0854453294713975,0.0684286748732802,0.1013758146270818,0.0872556118754525,0.0405503258508327,0.0260680666183924,0.059739319333816,0.0785662563359884,0.0448950036205648
NONHSAT001461,0.2617568766637089,0.225377107364685,0.2271517302573203,0.2857142857142857,0.0817051509769094,0.039076376554174,0.080817051509769,0.0603907637655417,0.0683836589698046,0.0595026642984014,0.0106571936056838,0.0870337477797513,0.0746003552397868,0.0577264653641207,0.0532859680284191,0.041740674955595,0.0373001776198934,0.0692717584369449,0.0817051509769094,0.0968028419182948
NONHSAT001463,0.2364425162689804,0.254880694143167,0.2537960954446854,0.254880694143167,0.0542888165038002,0.0456026058631921,0.0846905537459283,0.0510314875135722,0.0705754614549402,0.0738327904451683,0.0249728555917481,0.0857763300760043,0.0803474484256243,0.0575461454940282,0.0651465798045602,0.0510314875135722,0.0314875135722041,0.0770901194353963,0.0792616720955483,0.0673181324647122
NONHSAT001511,0.2988261138189057,0.1696299855838539,0.1838401867234159,0.3477037138738243,0.1024303171769875,0.0440065906906494,0.0654263353013867,0.0869833859673211,0.0568447068515721,0.0398187560071399,0.006384731566662,0.066524783742963,0.0551283811616092,0.0331594123300837,0.0390635727035562,0.0565014417135795,0.084443223946176,0.0525882191404641,0.0729781683372236,0.1377179733626252
NONHSAT001953,0.2463768115942029,0.2199488491048593,0.2506393861892583,0.2830349531116795,0.068230277185501,0.0473347547974413,0.0763326226012793,0.0541577825159914,0.0656716417910447,0.0571428571428571,0.0200426439232409,0.077185501066098,0.0614072494669509,0.0622601279317697,0.0673773987206823,0.0597014925373134,0.0511727078891258,0.0533049040511727,0.0865671641791044,0.0921108742004264
NONHSAT001993,0.2940251572327044,0.2641509433962264,0.2374213836477987,0.2044025157232704,0.1023622047244094,0.0677165354330708,0.0803149606299212,0.0440944881889763,0.074015748031496,0.0960629921259842,0.0362204724409448,0.0566929133858267,0.0771653543307086,0.0440944881889763,0.0803149606299212,0.0362204724409448,0.0393700787401574,0.0566929133858267,0.0409448818897637,0.0677165354330708
NONHSAT002344,0.2893735734212528,0.1689069236621861,0.2094851635810296,0.3322343393355313,0.0966514459665144,0.0512430238457635,0.0618975139523084,0.0794013191273465,0.060882800608828,0.0322171486555048,0.0078640284119736,0.0679857940131912,0.0570776255707762,0.0383054287163876,0.0530187721968543,0.0611364789446981,0.0745814307458143,0.0471841704718417,0.0867579908675799,0.1237950279046169
NONHSAT002390,0.2596611964002117,0.2001058761249338,0.2265749073583906,0.3136580201164637,0.0736033889330156,0.0391845379931162,0.0812814402965316,0.0656605771776542,0.0669843791368811,0.0487159120995499,0.0068837701879798,0.0773100344188509,0.0608948901244373,0.0508339952343129,0.0574530050304474,0.0574530050304474,0.0582472862059835,0.0614244109081281,0.0807519195128408,0.1133174477098226
NONHSAT002564,0.2218430034129692,0.2567311338642397,0.229427379598028,0.291998483124763,0.0519726858877086,0.0402124430955993,0.0728376327769347,0.056525037936267,0.0747344461305007,0.0758725341426403,0.0159332321699544,0.090288315629742,0.0538694992412746,0.0614567526555386,0.0660091047040971,0.0481790591805766,0.0409711684370258,0.0792867981790591,0.0747344461305007,0.0971168437025796
NONHSAT002658,0.2803268384663733,0.2269013199245757,0.2479572595851665,0.2448145820238843,0.0889657340458975,0.0474693492612386,0.0839358692235146,0.0600440113171958,0.0631876768311851,0.0675888085507702,0.036152153410877,0.0597296447657969,0.0691606413077648,0.0628733102797862,0.0609871109713926,0.0550141464948129,0.059100911662999,0.0490411820182332,0.0669600754479723,0.0697893744105627
NONHSAT003081,0.1980868872060582,0.3100836986847349,0.2766042247907533,0.2152251893184535,0.0478468899521531,0.0498405103668261,0.0721690590111642,0.0279106858054226,0.0665869218500797,0.104066985645933,0.0502392344497607,0.0893141945773524,0.062200956937799,0.0837320574162679,0.0825358851674641,0.0482456140350877,0.0215311004784689,0.0721690590111642,0.0717703349282296,0.0498405103668261
NONHSAT004374,0.2876984126984127,0.2301587301587301,0.1924603174603174,0.2896825396825397,0.0854021847070506,0.054617676266137,0.0665342601787487,0.0814299900695134,0.0883813306852035,0.0595829195630585,0.0069513406156901,0.0754716981132075,0.0645481628599801,0.0407149950347567,0.0377358490566037,0.0496524329692154,0.0496524329692154,0.0744786494538232,0.0814299900695134,0.083416087388282
NONHSAT004412,0.3015075376884422,0.1884422110552764,0.1974156496769562,0.3126346015793252,0.1091561938958707,0.0495511669658886,0.0624775583482944,0.0804308797127468,0.067145421903052,0.0427289048473967,0.0147217235188509,0.0635547576301615,0.0538599640933572,0.044883303411131,0.0452423698384201,0.0535008976660682,0.0710951526032316,0.0513464991023339,0.0750448833034111,0.1152603231597845
NONHSAT006360,0.2170119956379498,0.2061068702290076,0.183206106870229,0.3936750272628135,0.046943231441048,0.0349344978165938,0.0534934497816593,0.0807860262008733,0.0458515283842794,0.0545851528384279,0.0065502183406113,0.0993449781659388,0.0360262008733624,0.0349344978165938,0.037117903930131,0.0753275109170305,0.0873362445414847,0.0818777292576419,0.0862445414847161,0.1386462882096069
NONHSAT007698,0.3032015065913371,0.167608286252354,0.2222222222222222,0.3069679849340866,0.1017907634307257,0.0480678605089538,0.0744580584354382,0.0782280867106503,0.0574929311969839,0.0339302544769085,0.003770028275212,0.0725730442978322,0.0678605089538171,0.0405278039585296,0.0508953817153628,0.063147973609802,0.0763430725730443,0.0442978322337417,0.0933081998114985,0.0933081998114985
NONHSAT008282,0.2981574539363484,0.1591289782244556,0.208821887213847,0.3338916806253489,0.1078212290502793,0.0374301675977653,0.0731843575418994,0.0798882681564245,0.053072625698324,0.0329608938547486,0.0083798882681564,0.064804469273743,0.0558659217877094,0.035754189944134,0.0480446927374301,0.0687150837988826,0.0810055865921787,0.053072625698324,0.0793296089385474,0.1206703910614525
NONHSAT008692,0.2844677137870855,0.1701570680628272,0.1675392670157068,0.3778359511343804,0.1056768558951965,0.0471615720524017,0.0524017467248908,0.0794759825327511,0.0471615720524017,0.0384279475982532,0.0078602620087336,0.0759825327510917,0.0323144104803493,0.0314410480349345,0.0305676855895196,0.0733624454148471,0.0995633187772925,0.0532751091703056,0.0759825327510917,0.1493449781659388
NONHSAT009144,0.2302125734961556,0.2190562339816071,0.2742348861751846,0.2764963063470526,0.0542822677925211,0.0389022919179734,0.081875753920386,0.0550361881785283,0.0649879372738238,0.0609167671893848,0.0156815440289505,0.077503015681544,0.0675512665862484,0.0643848009650181,0.0812726176115802,0.0610675512665862,0.0434258142340168,0.0548854041013269,0.0952955367913148,0.0829312424607961
NONHSAT009289,0.2850627137970353,0.2106613454960091,0.2118015963511972,0.2924743443557582,0.0932420872540633,0.0536070715711434,0.0727117194183062,0.0652979754776161,0.0764185913886512,0.0527516395779868,0.0165383518676931,0.0650128314798973,0.0595950955232392,0.0484744796122041,0.0510407755916738,0.0527516395779868,0.0558882235528942,0.0558882235528942,0.071285999429712,0.1094952951240376
NONHSAT009703,0.302016302016302,0.1638781638781638,0.172029172029172,0.362076362076362,0.0965665236051502,0.0515021459227467,0.0600858369098712,0.0939914163090128,0.0622317596566523,0.0313304721030042,0.0051502145922746,0.0648068669527897,0.0497854077253218,0.0287553648068669,0.034763948497854,0.0587982832618025,0.0931330472103004,0.0523605150214592,0.0721030042918454,0.1446351931330472
NONHSAT009920,0.2871638762049721,0.2470826991374936,0.2354134956874682,0.2303399289700659,0.0862944162436548,0.0593908629441624,0.0852791878172588,0.0558375634517766,0.0873096446700507,0.0751269035532995,0.0142131979695431,0.0705583756345177,0.0802030456852791,0.049746192893401,0.0614213197969543,0.0441624365482233,0.0335025380710659,0.0629441624365482,0.0741116751269035,0.0598984771573604
NONHSAT011652,0.3378800795680591,0.1494742824666098,0.1636828644501279,0.3489627735152031,0.1381466742467311,0.0406480955088118,0.0605457646389994,0.0986355884025014,0.0588402501421262,0.031267765776009,0.0048322910744741,0.0545764638999431,0.046048891415577,0.0292779988629903,0.0321205230244457,0.0562819783968163,0.0946560545764639,0.0483229107447413,0.0662308129619101,0.1395679363274587
NONHSAT012887,0.3372924354243542,0.1850784132841328,0.2197878228782288,0.2578413284132841,0.1192480682735555,0.0560488986276092,0.0793449429131588,0.0825740975666013,0.0780763464421635,0.0432476069657478,0.0087648483450582,0.0550109560604313,0.0773843847307115,0.0369046246107715,0.0597393610886864,0.0457847999077384,0.0626225348864029,0.0488986276092722,0.0718486910390958,0.074501210932995
NONHSAT012889,0.3459196102314251,0.1806739748274462,0.221274868047097,0.2521315468940316,0.1226395939086294,0.0568527918781725,0.0852791878172588,0.0812182741116751,0.0802030456852791,0.0402030456852791,0.0056852791878172,0.0546192893401015,0.0856852791878172,0.0339086294416243,0.0572588832487309,0.0442639593908629,0.0572588832487309,0.049746192893401,0.0730964467005076,0.0720812182741116
NONHSAT016749,0.3081896551724138,0.223419540229885,0.2083333333333333,0.2600574712643678,0.1042415528396836,0.0560747663551401,0.0783608914450035,0.0690150970524802,0.0862688713156002,0.0603882099209202,0.0050323508267433,0.0718907260963335,0.0711718188353702,0.0416966211358734,0.0488856937455068,0.0467289719626168,0.0467289719626168,0.0647016534867002,0.0762041696621135,0.0726096333572969
NONHSAT016752,0.2831439393939394,0.2130681818181818,0.2130681818181818,0.2907196969696969,0.0923732828043581,0.0554239696826148,0.0601610611084793,0.0753197536712458,0.0592136428233064,0.053529133112269,0.0270014211274277,0.0734249171009,0.0648981525343439,0.053529133112269,0.0478446234012316,0.0464234959734722,0.0667929891046897,0.0506868782567503,0.0776882993841781,0.0956892468024632
NONHSAT017060,0.2314356435643564,0.2388613861386138,0.2549504950495049,0.2747524752475248,0.0656753407682775,0.0297397769516728,0.0532837670384138,0.0830235439900867,0.0446096654275092,0.117719950433705,0.023543990086741,0.0532837670384138,0.0817843866171003,0.0396530359355638,0.0458488228004956,0.0867410161090458,0.0396530359355638,0.0520446096654275,0.1313506815365551,0.0520446096654275
NONHSAT017400,0.1915077989601386,0.3032928942807625,0.2738301559792028,0.231369150779896,0.0477016478751084,0.0511708586296617,0.0598438855160451,0.0329575021682567,0.0563746747614917,0.0945359930615784,0.0676496097137901,0.0841283607979184,0.0555073720728534,0.0832610581092801,0.0893321769297484,0.0459670424978317,0.0320901994796183,0.0745880312228968,0.05724197745013,0.0676496097137901
NONHSAT017922,0.2467306015693112,0.2022667829119442,0.2911944202266783,0.2598081952920663,0.0785340314136125,0.0366492146596858,0.0785340314136125,0.0523560209424083,0.0392670157068062,0.0549738219895288,0.0401396160558464,0.0680628272251308,0.0759162303664921,0.0619546247818499,0.0977312390924956,0.0558464223385689,0.0523560209424083,0.0488656195462478,0.075043630017452,0.0837696335078534
NONHSAT018076,0.3051191079574252,0.2143943233654333,0.2146477445514445,0.2658388241256969,0.1049429657794676,0.0547528517110266,0.0801013941698352,0.0653992395437262,0.0798479087452471,0.0544993662864385,0.0091254752851711,0.0709759188846641,0.0686945500633713,0.0474017743979721,0.0552598225602027,0.0433460076045627,0.0517110266159695,0.0577946768060836,0.0702154626108998,0.0859315589353612
NONHSAT018186,0.2421021552996752,0.2453498671390611,0.265426631237083,0.2471213463241807,0.0670407560543414,0.0422327229769639,0.0859421145894861,0.0469580626107501,0.0741287655050206,0.0859421145894861,0.0147666863555818,0.070584760779681,0.0658594211458948,0.0664500886001181,0.0809214412285883,0.0522740696987596,0.034849379799173,0.0507974010632014,0.0838747784997046,0.0773774365032486
NONHSAT018688,0.2552934059286146,0.2304900181488203,0.220508166969147,0.293708408953418,0.0762481089258698,0.0481089258698941,0.0635400907715582,0.0671709531013615,0.0695915279878971,0.0650529500756429,0.0169440242057488,0.0789712556732223,0.0574886535552193,0.0502269288956127,0.0605143721633888,0.0523449319213313,0.0517397881996974,0.0671709531013615,0.0795763993948562,0.0953101361573373
NONHSAT021830,0.2586705202312139,0.2001445086705202,0.2304913294797687,0.3106936416184971,0.0758944705457173,0.0505963136971449,0.070473436935309,0.0617997831586555,0.0596313697144922,0.0473436935308998,0.0115648717022045,0.0816769063968196,0.0661366100469822,0.0455366823274304,0.0542103361040838,0.0646910010842067,0.0571015540296349,0.0563787495482471,0.0943259848211059,0.1026382363570654
NONHSAT021853,0.2647058823529412,0.2006920415224913,0.2145328719723183,0.3200692041522491,0.0623916811091854,0.0502599653379549,0.072790294627383,0.0797227036395147,0.0606585788561525,0.046793760831889,0.0103986135181975,0.0831889081455806,0.0658578856152513,0.0415944540727903,0.046793760831889,0.0606585788561525,0.0762564991334488,0.0606585788561525,0.0849220103986135,0.097053726169844
