iter	Passed	Remaining
0	11	5545
1	25	6330
2	39	6561
3	53	6576
4	67	6650
5	80	6651
6	94	6674
7	108	6658
8	122	6665
9	136	6687
10	150	6704
11	165	6713
12	179	6707
13	192	6687
14	207	6700
15	221	6706
16	236	6715
17	250	6702
18	263	6659
19	278	6681
20	293	6685
21	307	6679
22	320	6652
23	334	6640
24	349	6631
25	363	6626
26	377	6609
27	392	6610
28	406	6609
29	421	6603
30	438	6638
31	455	6658
32	469	6646
33	484	6644
34	498	6623
35	512	6606
36	527	6603
37	541	6586
38	556	6577
39	570	6565
40	584	6542
41	598	6527
42	612	6512
43	622	6454
44	636	6434
45	650	6422
46	664	6404
47	677	6384
48	690	6357
49	705	6345
50	719	6335
51	733	6320
52	747	6306
53	761	6286
54	775	6271
55	788	6254
56	803	6243
57	816	6224
58	830	6210
59	844	6193
60	858	6176
61	872	6167
62	887	6153
63	901	6139
64	915	6129
65	930	6118
66	944	6103
67	957	6082
68	971	6068
69	986	6057
70	999	6040
71	1013	6027
72	1026	6006
73	1040	5987
74	1053	5972
75	1068	5959
76	1080	5937
77	1094	5921
78	1107	5901
79	1121	5887
80	1135	5873
81	1149	5860
82	1163	5844
83	1177	5829
84	1186	5794
85	1201	5783
86	1215	5770
87	1229	5754
88	1243	5741
89	1256	5724
90	1269	5704
91	1283	5690
92	1297	5676
93	1311	5663
94	1324	5648
95	1337	5628
96	1352	5617
97	1365	5603
98	1378	5584
99	1392	5569
100	1403	5545
101	1416	5526
102	1430	5513
103	1444	5498
104	1458	5485
105	1472	5471
106	1486	5458
107	1498	5438
108	1511	5423
109	1524	5404
110	1539	5393
111	1552	5379
112	1566	5365
113	1581	5354
114	1595	5341
115	1610	5329
116	1625	5319
117	1637	5301
118	1651	5288
119	1665	5273
120	1679	5260
121	1692	5244
122	1706	5230
123	1719	5212
124	1732	5198
125	1745	5181
126	1758	5163
127	1770	5144
128	1784	5131
129	1798	5118
130	1809	5098
131	1821	5078
132	1835	5064
133	1848	5049
134	1862	5036
135	1876	5022
136	1888	5004
137	1902	4991
138	1916	4978
139	1930	4964
140	1944	4950
141	1958	4937
142	1972	4923
143	1986	4910
144	2000	4896
145	2013	4882
146	2028	4870
147	2041	4855
148	2054	4840
149	2068	4827
150	2082	4813
151	2095	4797
152	2108	4781
153	2121	4766
154	2135	4753
155	2149	4739
156	2161	4722
157	2175	4708
158	2188	4694
159	2202	4679
160	2215	4665
161	2229	4652
162	2243	4639
163	2257	4625
164	2271	4612
165	2285	4597
166	2297	4580
167	2310	4566
168	2323	4551
169	2336	4535
170	2350	4522
171	2363	4507
172	2377	4493
173	2391	4480
174	2404	4466
175	2417	4450
176	2430	4435
177	2443	4421
178	2458	4408
179	2471	4393
180	2484	4379
181	2498	4364
182	2512	4351
183	2526	4338
184	2538	4322
185	2551	4307
186	2565	4293
187	2579	4280
188	2594	4268
189	2607	4254
190	2621	4240
191	2634	4226
192	2647	4211
193	2661	4198
194	2676	4187
195	2690	4173
196	2704	4159
197	2717	4145
198	2731	4131
199	2745	4118
200	2759	4105
201	2773	4091
202	2787	4078
203	2801	4065
204	2815	4051
205	2829	4038
206	2842	4022
207	2854	4007
208	2869	3995
209	2882	3980
210	2896	3967
211	2910	3954
212	2925	3941
213	2936	3924
214	2951	3912
215	2966	3899
216	2980	3886
217	2993	3871
218	3007	3858
219	3019	3843
220	3034	3830
221	3048	3817
