nameseq,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3,label
Q9UKV8,0.7503317001231965,0.7685538751924674,0.7690853501563697,0.7691114258739525,0.7691120555697186,rProtein
P56178,0.741471955030455,0.7672581043765223,0.7686062750273069,0.7687176820766449,0.768735594664689,rProtein
Q9NY12,0.6934026074738217,0.743545565666307,0.7581539430631976,0.7642700716595754,0.7663160409913351,rProtein
P08151,0.7422366030233204,0.767984967807902,0.7690774067889707,0.7691384518713988,0.7691438302561858,rProtein
Q9H9S0,0.7439286127047401,0.7677271700897129,0.7686785699049583,0.7687537313590572,0.768765054977623,rProtein
P25208,0.7472021877655416,0.7676434836020978,0.7684057854303291,0.768465987631818,0.7684610864008898,rProtein
Q13148,0.7459934474624546,0.7678715777512084,0.7688316894770739,0.7689072373442273,0.7689199380984606,rProtein
Q99988,0.7394391062794405,0.7672192005072354,0.7685829100487122,0.7687328108044551,0.7687754447625958,rProtein
P35637,0.7075840780463365,0.7588278320037124,0.7665732221461945,0.7681855844522701,0.7686844071694533,rProtein
O00425,0.7473283410447429,0.76820758482091,0.7689809795817394,0.7690223121251484,0.7690268796942012,rProtein
Q07955,0.732728080057924,0.7642288455736692,0.7670560834683666,0.7677577745986937,0.7680590865308736,rProtein
P25490,0.7454094805016808,0.7671290634292265,0.7685316757540105,0.7688021741617368,0.7688612818077744,rProtein
Q7Z3B3,0.7437467389412974,0.7681530083932449,0.7690896758215946,0.7691415077817458,0.7691450880946403,rProtein
P49711,0.7484834779803885,0.7682721336512625,0.7690243591428519,0.7690726884614086,0.7690795554179785,rProtein
P37108,0.7324553777459097,0.7619821978879083,0.766094854716872,0.7669690894603916,0.7674917248693796,rProtein
P31260,0.7384352395579471,0.7664542381087397,0.7682698294613131,0.7686799779116865,0.7688373520641189,rProtein
Q00839,0.7443092079215687,0.7677205483843196,0.7689348233169331,0.7690659309370855,0.7690888774269515,rProtein
Q9NZI8,0.7473327929914662,0.7681926541750053,0.768974611794342,0.7690243782423533,0.7690269557733866,rProtein
P49913,0.7452292988631662,0.766987189469031,0.7681778639740448,0.7682387382500561,0.7682309623224737,rProtein
Q15465,0.7430901929531433,0.7676713179890117,0.7688869801324899,0.7689574752223333,0.7689635107309502,rProtein
Q5S007,0.7461056633115272,0.7684580293216867,0.7691687652006923,0.7691993148683031,0.7692015564266341,rProtein
Q12968,0.7434391884442269,0.7680422753149685,0.7690722012388439,0.7691357991100684,0.7691414646732065,rProtein
P01236,0.7458958323917644,0.7674975182007927,0.7684530903990738,0.7685358583407815,0.7685495916815184,rProtein
O75817,0.7447135344634903,0.7669840663431499,0.7678787493151038,0.7679474937086239,0.767935213598165,rProtein
P49458,0.7447288764124556,0.7661870200350326,0.7668069871196415,0.7667689558516255,0.766729855910987,rProtein
Q7L2J0,0.7440834604182727,0.767749654805254,0.7689019722124466,0.7690340556918512,0.7690663701477619,rProtein
O14746,0.7435393467401017,0.7681136710715901,0.7690921884948405,0.7691436664787317,0.7691475351860732,rProtein
Q13127,0.746058794469182,0.7681149476163172,0.7690391170541142,0.7691123985346532,0.769126986902781,rProtein
