nameseq,k1,k2,k3,k4,k5,label
Q9UKV8,4.201685295570821,8.086995986940003,9.594937216739533,9.736794089204933,9.739780609773407,rProtein
P56178,4.00549779002445,7.058164575121371,7.996737370903909,8.13189930880641,8.15481810905212,rProtein
Q9NY12,3.4585678717847967,5.562044832837388,6.2332305569365145,6.660000362391638,6.963180101982649,rProtein
P08151,4.015508618035727,7.715669104914589,9.69990940377857,10.052135581935943,10.093204334342635,rProtein
Q9H9S0,4.062880989087725,7.240390673169962,8.112778686428964,8.211914673099946,8.226975158487248,rProtein
P25208,4.08442445202415,7.049198524682522,7.6209435141395785,7.672425341971496,7.665335917185182,rProtein
Q13148,4.109864405470215,7.493978716296143,8.52016721404489,8.651960794138695,8.674602050725008,rProtein
Q99988,3.9458479017039623,7.01255028255912,7.994220113892097,8.19117399801688,8.247927513443585,rProtein
P35637,3.5223639217234624,6.373504848924945,7.7173038921572035,8.344016225989163,8.70230905141577,rProtein
O00425,4.083159926953172,7.675264102780726,9.012523414180041,9.135202779220151,9.15002684148377,rProtein
Q07955,3.7913963028166564,6.443696847108793,7.383094706093952,7.632277020511622,7.704257317362686,rProtein
P25490,4.070930512734634,7.335085874011384,8.368424152754303,8.57202222243,8.63154964961671,rProtein
Q7Z3B3,4.022727974431494,7.771365834270386,9.764648954516803,10.076185380166443,10.102782223137625,rProtein
P49711,4.1470638623683085,7.7699761124412,9.25350739177489,9.450122130177139,9.481254326577643,rProtein
P37108,3.798377708003449,6.099230386888889,6.692663070925631,6.847376537347788,6.941290782430892,rProtein
P31260,3.9220335732705913,7.099551517500267,8.237256530644043,8.489098342291367,8.580591158671417,rProtein
Q00839,4.065920392040376,7.644114357467084,9.259685873256075,9.58227197112779,9.640250001967285,rProtein
Q9NZI8,4.0929530180344,7.664467104287221,8.989566558863803,9.140516682773201,9.148429723172262,rProtein
P49913,4.049725955700516,6.775738959999668,7.344698375159743,7.383704292474028,7.375039431346908,rProtein
Q15465,4.02707531384417,7.450129790986004,8.676415186790443,8.824921149514132,8.839203788096967,rProtein
