nameseq,k1,k2,k3,k4,k5,label
O00425,4.083159926953172,7.675264102780726,9.012523414180041,9.135202779220151,9.15002684148377,rProtein
O14746,4.043626034789537,7.788379020889185,9.787410370587635,10.107605877943778,10.13600525310784,rProtein
O15042,4.047128398854461,7.756697260289107,9.585571485777066,9.943341769984546,9.983110743171014,rProtein
O43251,3.979302291595256,7.246653477921859,8.382370646422748,8.54551885052569,8.57173164866702,rProtein
O60306,4.185898238128943,8.190384348329173,10.278495456594854,10.515785872656501,10.531005486396435,rProtein
O60341,4.100208154848148,7.833346156539712,9.488280121827524,9.686594447895764,9.699618567770846,rProtein
O60832,4.065236699529987,7.580707445544231,8.788469213820708,8.943344304803908,8.978667162348941,rProtein
O75817,4.020205694803692,6.645743680559365,7.065046195908602,7.098032082960511,7.0874628412503275,rProtein
O76094,4.072033673433357,7.648140109450949,9.089759489098338,9.333539958635265,9.363551946686844,rProtein
O94992,3.9660169572967976,7.167430312375886,8.325663877450296,8.458879498382155,8.471675214392084,rProtein
O95707,4.039434847180089,7.103464913442934,7.740661388997097,7.752334642582742,7.754887502163464,rProtein
O95793,4.059522511399047,7.601675009865747,8.982610037124667,9.157938285560661,9.15890092736074,rProtein
P01189,4.047318590758735,7.070971134762605,7.88566071924551,7.996080151547238,8.016105301079401,rProtein
P01236,4.133277479934819,7.174544435874352,7.733781191216991,7.789497779200426,7.800899899920315,rProtein
P01344,4.054393001189053,6.808989031345415,7.453261520854012,7.46760555008301,7.459431618637307,rProtein
P04150,4.141306281880195,7.917134259148738,9.402505564649804,9.571958635340627,9.594324603924901,rProtein
P04637,4.125141579991895,7.4570617180803325,8.484401331823193,8.579753679128714,8.598484956811477,rProtein
P05455,3.99102631321405,7.356619200751059,8.491618367892078,8.627210196537378,8.653260987702254,rProtein
P07910,3.959817653912331,7.190810002896864,8.086678993678273,8.216771343208926,8.238404739325114,rProtein
P08047,3.9209130394939598,7.424126874428971,9.1771892507258,9.548678393851866,9.598935460292923,rProtein
P09132,4.074591794309666,6.699211875373309,7.1074935983779275,7.139551352398772,7.129283016944978,rProtein
P14210,4.246384751430935,8.002289406588108,9.291339976967496,9.42251335731001,9.45356166746398,rProtein
P14859,3.751945724429463,7.109394827275595,8.992546116940117,9.450962845645753,9.513192394470734,rProtein
P17735,4.185417350644485,7.735511039117627,8.709559493388603,8.803679853853977,8.813781191217078,rProtein
P23246,3.8674416926346367,7.239187017937447,8.77662667733365,9.23051327276224,9.37841960595118,rProtein
P23511,3.764933858993472,6.7157371363234875,8.019876492269123,8.354302872428372,8.410402958592611,rProtein
P25208,4.08442445202415,7.049198524682522,7.6209435141395785,7.672425341971496,7.665335917185182,rProtein
P26599,4.062333666698912,7.5697168414194875,8.891614153122568,9.011042527550714,9.026478885982572,rProtein
P31269,4.1176692861967155,7.236032875363114,8.017556337791584,8.053786200838516,8.058626503890574,rProtein
P31483,4.192719496424132,7.611191747552444,8.513322461647459,8.575978649810036,8.577428828035776,rProtein
P35268,3.9958982757729604,6.358455552777609,6.891923673482755,6.949784284662099,6.954196310386861,rProtein
P35453,3.999277584142626,7.0285389603468005,7.960571302329887,8.110900147016343,8.19035460793541,rProtein
P35637,3.5223639217234624,6.373504848924945,7.7173038921572035,8.344016225989163,8.70230905141577,rProtein
P37108,3.798377708003449,6.099230386888889,6.692663070925631,6.847376537347788,6.941290782430892,rProtein
P49458,4.041789832155519,6.221155642020058,6.39231742277876,6.3750394313469325,6.357552004618087,rProtein
P50750,4.180911922754696,7.601657739314955,8.466516595651472,8.522056951859819,8.523561956057089,rProtein
P55899,4.044931753745606,7.394783284985809,8.393632900530207,8.488796163326285,8.495855026887199,rProtein
P60484,4.192509515275265,7.697532000717964,8.570762946399576,8.638856189774751,8.640244936222325,rProtein
P61011,4.095027839264744,7.6934579581350375,8.887878215305458,8.964674777227062,8.965784284662018,rProtein
P61964,4.063815461683608,7.086747203823219,8.06996650208442,8.236957308600248,8.298853539983773,rProtein
P62136,4.155451201174688,7.554381948479777,8.320966638764434,8.35314682549804,8.348728154231113,rProtein
P62140,4.168188379224068,7.52729347331344,8.288911292531163,8.333677163378422,8.335390354693944,rProtein
P78345,3.967236135357566,7.092488765751543,8.041899629829471,8.12214015980212,8.124121311829194,rProtein
P84243,3.8999818869492935,6.5563366155212925,6.9616115785174815,7.025207247531274,7.044394119358443,rProtein
Q01094,3.980496355806789,7.306477031923099,8.559101993024958,8.743118052720929,8.75822321472675,rProtein
Q01844,3.780963981469263,6.934345609627307,8.42978960705658,8.935526357229119,9.139366967936452,rProtein
Q07955,3.7913963028166564,6.443696847108793,7.383094706093952,7.632277020511622,7.704257317362686,rProtein
Q12968,4.050904449607562,7.818422294560369,9.682296683252689,10.021313071054738,10.059140523853896,rProtein
Q13127,4.07834574721509,7.763215863033902,9.589205278030681,9.937739196544877,10.00500335224445,rProtein
Q13148,4.109864405470215,7.493978716296143,8.52016721404489,8.651960794138695,8.674602050725008,rProtein
Q13285,4.113980234093942,7.558908863324781,8.684910991547913,8.815721500974337,8.831673987443224,rProtein
Q13952,3.9466301803873387,7.211597672283984,8.50793209866614,8.766525180136254,8.817737914603681,rProtein
Q15022,4.16633763419038,7.870614602198554,9.291818189071247,9.47157192547761,9.512410116591711,rProtein
Q15233,4.035398784936385,7.429997749823229,8.608404107134145,8.815856653334842,8.845865463478487,rProtein
Q15287,3.584747762014725,6.291629391563823,7.419730401833498,7.85249302593443,8.067045040588846,rProtein
Q15717,4.1558182740733445,7.432123611055606,8.247257410291999,8.335390354693944,8.330916878114664,rProtein
Q15910,4.200993453681137,7.989342090463875,9.388790124305714,9.518375870255975,9.528867172440034,rProtein
Q4G0J3,3.99645211089946,7.495308541605584,8.913022904636565,9.114541520793086,9.154839799327002,rProtein
Q5S007,4.130949565415538,8.124589203567153,10.740436002071032,11.24800192001902,11.297753662596962,rProtein
Q7L2J0,4.0339175550764566,7.562752440336918,9.082883196525847,9.333500790222214,9.402441929672873,rProtein
Q7Z3B3,4.022727974431494,7.771365834270386,9.764648954516803,10.076185380166443,10.102782223137625,rProtein
Q8IUX4,4.24418240447604,7.535791262823943,8.351986966917233,8.455705784840658,8.478696518255482,rProtein
Q8IYB3,3.6130915385036095,6.755754250941003,8.534980364360354,9.243932511598826,9.567784139602011,rProtein
Q8NDV7,4.00034049514468,7.777683607140805,10.187944849684921,10.789872522043053,10.890870332569014,rProtein
Q8WXF1,4.000959718633587,7.431276698414002,8.78756866494486,8.986300721678258,9.011883599263472,rProtein
Q92994,4.055569838375149,7.636111527313157,9.214647895632396,9.384735344980069,9.394462694610423,rProtein
Q96BK5,4.016548935690592,7.188983541432097,8.190722709432563,8.317357792524504,8.333677163378422,rProtein
Q96PU8,4.057198587501141,7.337052812705395,8.326218491153607,8.394962276518834,8.396604781181843,rProtein
Q99575,4.15738534279579,7.9762240066418,9.764005545004489,9.987931695441826,9.994353436858685,rProtein
Q9BUL9,3.9235315034786273,6.750173791621949,7.52684934482607,7.594301680849887,7.5970739034932375,rProtein
Q9H633,4.038026923033784,6.629681306631804,7.2216117239698825,7.23840473932506,7.228818690495862,rProtein
Q9H9G7,4.194040806650598,8.035808746183067,9.579024207538748,9.736150227251384,9.741466986401196,rProtein
Q9HCE1,4.123913541938971,7.939451990378321,9.703676271295375,9.941784284662017,9.960336863788267,rProtein
Q9HCJ0,3.9600487194839173,7.722168262874694,10.120617963398391,10.62695197732408,10.703012996224178,rProtein
Q9HCK5,4.1996252662412905,8.062868048259999,9.597079480653585,9.737840830506697,9.743151394112527,rProtein
Q9NY12,3.4585678717847967,5.562044832837388,6.2332305569365145,6.660000362391638,6.963180101982649,rProtein
Q9NZI8,4.0929530180344,7.664467104287221,8.989566558863803,9.140516682773201,9.148429723172262,rProtein
Q9UHB9,4.086690360291316,7.72211510754264,9.078779463040656,9.213814022607282,9.236508015931362,rProtein
Q9UKC9,4.021598682405176,7.2822741399145094,8.480445299596244,8.65530530932765,8.7060331640096,rProtein
Q9UKL0,4.05696291228691,7.427181197994613,8.608768772743602,8.78172900231108,8.84022619186914,rProtein
Q9UKV8,4.201685295570821,8.086995986940003,9.594937216739533,9.736794089204933,9.739780609773407,rProtein
Q9UL18,4.201903830949272,8.086460836165747,9.575728372923704,9.731066498496249,9.736401931318353,rProtein
Q9UPQ9,3.9885174084091783,7.7753513798684875,10.13793931173543,10.736016820110475,10.810786060429503,rProtein
Q9Y6M1,4.090525555437125,7.690418090070061,9.07500458356917,9.188967178180192,9.203300480044032,rProtein
